,232_type_of_store,5_change_store_space_last_year,6_change_employees_average_salary_last_year,49_inventory_records,18_sales_records,210_sales_channels,214_customer_relationship_tools,38_average_margin_profits,193_sales_planning_tools,56_procurement_changes_pandemic,279_changes_procurement_pandemic,162_inventory_extra_space,249_technology_training,263_technology_secure_sales
99,Grocery store (aka. nanostore),No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,Ninguo,Ninguna,15%,Ninguna,no,Aumentar la cantidad del pedido,10%,Totalmente de acuerdo,Totalmente de acuerdo
100,Grocery store (aka. nanostore),No cambió,No cambió,En papel,"Caja registradora (análoga),En papel",Ninguo,Ninguna,30%,Cuaderno,no,Aumentar la cantidad del pedido,20%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
101,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,"Caja registradora (análoga),En papel",Llamada a Teléfono celular,Ninguna,40%,Cuaderno,no,Aumentar la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,De acuerdo
102,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,"Caja registradora (análoga),En papel",Llamada a Teléfono celular,Ninguna,50% +,Cuaderno,no,Aumentar la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
103,brakers and clutches,No cambió,No cambió,En papel,"Caja registradora (análoga),En papel",Llamada a Teléfono celular,Ninguna,35%,"Cuaderno,Ninguna",no,Aumentar la cantidad del pedido,50% +,Ni de acuerdo ni en desacuerdo,De acuerdo
104,Spa,No cambió,No cambió,En papel,"Caja registradora (análoga),En papel",WhatsApp,Redes sociales,30%,Ninguna,no,Aumentar la cantidad del pedido,30%,De acuerdo,De acuerdo
105,Stationery ,No cambió,No cambió,En papel,En papel,Ninguno ,Ninguna,30%,Ninguna,no,Aumentar la cantidad del pedido,50% +,De acuerdo,De acuerdo
106,Grocery store (aka. nanostore),No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,Llamada a Teléfono fijo,Telefono,35%,Software especializado,no,Aumentar la cantidad del pedido,50% +,De acuerdo,Ni de acuerdo ni en desacuerdo
107,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,"Caja registradora (análoga),En papel",ninguno,Ninguna,50% +,Ninguna,no,Aumentar la cantidad del pedido,0,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
108,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Llamada a Teléfono fijo,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,30%,Cuaderno,yes,Aumentar la cantidad del pedido,30%,Totalmente de acuerdo,De acuerdo
109,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,"Caja registradora (análoga),En papel","Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular",Redes sociales,50% +,Ninguna,no,Aumentar la cantidad del pedido,30%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
110,Micro-restaurant (aka. fondita),Disminuyó 15%,No cambió,En Excel,En Excel,WhatsApp,Ninguna,20%,Aplicación móvil,no,Aumentar la cantidad del pedido,20%,En desacuerdo,De acuerdo
111,Micro-restaurant (aka. fondita),Disminuyó 15%,No cambió,En Excel,En Excel,WhatsApp,Ninguna,20%,Aplicación móvil,no,Aumentar la cantidad del pedido,20%,En desacuerdo,De acuerdo
112,Heladería ,Disminuyó 15%,No cambió,En Excel,En Excel,WhatsApp,Ninguna,20%,Aplicación móvil,no,Aumentar la cantidad del pedido,20%,En desacuerdo,De acuerdo
113,Micro-restaurant (aka. fondita),Disminuyó 15%,No cambió,En Excel,En Excel,WhatsApp,Ninguna,20%,Aplicación móvil,no,Aumentar la cantidad del pedido,20%,En desacuerdo,De acuerdo
114,Grocery store (aka. nanostore),Disminuyó 15%,No cambió,En Excel,En Excel,WhatsApp,Ninguna,20%,Aplicación móvil,no,Aumentar la cantidad del pedido,20%,En desacuerdo,De acuerdo
115,Cafeteria,Disminuyó 15%,No cambió,En Excel,En Excel,WhatsApp,Ninguna,20%,Aplicación móvil,no,Aumentar la cantidad del pedido,20%,En desacuerdo,De acuerdo
116,Cafeteria,Disminuyó 15%,No cambió,En Excel,En Excel,WhatsApp,Ninguna,20%,Aplicación móvil,no,Aumentar la cantidad del pedido,20%,En desacuerdo,De acuerdo
117,Dairy products,Disminuyó 15%,No cambió,En Excel,En Excel,WhatsApp,Ninguna,20%,Aplicación móvil,no,Aumentar la cantidad del pedido,20%,En desacuerdo,De acuerdo
118,Dairy products,Aumentó 15%,No cambió,Software especializado + computadora,"Caja registradora (análoga),Software especializado + computadora",Página web propia,Software especializado,50% +,Software especializado,no,Aumentar la cantidad del pedido,30%,De acuerdo,De acuerdo
119,Produce (fruits & vegetables),Aumentó 15%,No cambió,Software especializado + computadora,Caja registradora (análoga),Llamada a Teléfono celular,Aplicación móvil,45%,Cuaderno,no,Aumentar la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,De acuerdo
120,Dairy products,Aumentó 15%,No cambió,En Excel,En Excel,Llamada a Teléfono fijo,Aplicación móvil,30%,Software especializado,no,Aumentar la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,De acuerdo
121,Micro-restaurant (aka. fondita),Aumentó 15%,No cambió,Software especializado + computadora,Caja registradora (análoga),Llamada a Teléfono fijo,Excel,30%,Software especializado,no,Aumentar la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
122,Dairy products,No cambió,No cambió,En Excel,En Excel,Ninguna ,Ninguna,5%,Ninguna,no,Aumentar la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
123,Grocery store (aka. nanostore),No cambió,No cambió,En Excel,En Excel,Ninguna ,Ninguna,5%,Ninguna,no,Aumentar la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
124,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,Ninguno ,Cuaderno,10%,Cuaderno,no,Aumentar la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,En desacuerdo
125,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,Ninguno ,Cuaderno,10%,Cuaderno,no,Aumentar la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,En desacuerdo
126,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,Ninguno ,Cuaderno,10%,Cuaderno,no,Aumentar la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,En desacuerdo
127,Micro-restaurant (aka. fondita),No cambió,Aumentó 15%,"En Excel,Software especializado + computadora","En Excel,Software especializado + computadora","Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp","Excel,Redes sociales",20%,"Excel,Software especializado",no,Aumentar la cantidad del pedido,40%,De acuerdo,Totalmente de acuerdo
128,Grocery store (aka. nanostore),No cambió,Aumentó 15%,"En Excel,Software especializado + computadora","En Excel,Software especializado + computadora","Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp","Excel,Redes sociales",20%,"Excel,Software especializado",no,Aumentar la cantidad del pedido,40%,De acuerdo,Totalmente de acuerdo
129,Cafeteria,No cambió,Aumentó 15%,"En Excel,Software especializado + computadora","En Excel,Software especializado + computadora","Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp","Excel,Redes sociales",20%,"Excel,Software especializado",no,Aumentar la cantidad del pedido,40%,De acuerdo,Totalmente de acuerdo
130,Micro-restaurant (aka. fondita),No cambió,Aumentó 15%,"En Excel,Software especializado + computadora","En Excel,Software especializado + computadora","Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp","Excel,Redes sociales",20%,"Excel,Software especializado",no,Aumentar la cantidad del pedido,40%,De acuerdo,Totalmente de acuerdo
131,Micro-restaurant (aka. fondita),No cambió,Aumentó 15%,"En Excel,Software especializado + computadora","En Excel,Software especializado + computadora","Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp","Excel,Redes sociales",20%,"Excel,Software especializado",no,Aumentar la cantidad del pedido,40%,De acuerdo,Totalmente de acuerdo
132,Dulceria ,No cambió,No cambió,En papel,No lo hago,"Llamada a Teléfono fijo,WhatsApp","Aplicación móvil,De frente",15%,Cuaderno,no,Aumentar la cantidad del pedido,0,Totalmente de acuerdo,Totalmente en desacuerdo
133,Salón de eventos,No cambió,No cambió,En papel,En papel,"Llamada a Teléfono fijo,WhatsApp","Aplicación móvil,De frente",5%,Other,no,Aumentar la cantidad del pedido,0,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
134,Cafeteria,Aumentó 50% o más,Aumento 1.20%,En Excel,"Aplicación móvil (i.e. App) + smartphone,Software especializado + computadora","Aplicación móvil (e.g. Rappi, Uber Eats),Redes sociales (e.g. Facebook, Instagram),WhatsApp","Redes sociales,Telefono",35%,Ninguna,no,Aumentar la cantidad del pedido,50% +,Totalmente de acuerdo,De acuerdo
135,Micro-restaurant (aka. fondita),No cambió,Aumentó 15%,No lo hago,En papel,"Llamada a Teléfono celular,WhatsApp",Aplicación móvil,35%,Ninguna,yes,Aumentar la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo
136,Plomeria,No cambió,Aumentó 15%,En papel,En papel,"Llamada a Teléfono celular,WhatsApp",Aplicación móvil,20%,Ninguna,no,Disminuir la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
137,Grocery store (aka. nanostore),No cambió,No cambió,No lo hago,No lo hago,Ninguno,Ninguna,15%,Ninguna,yes,Disminuir la cantidad del pedido,20%,En desacuerdo,En desacuerdo
138,Tienda de Cerámica,No cambió,No cambió,"En papel,No lo hago",En papel,"Llamada a Teléfono celular,WhatsApp",Aplicación móvil,25%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,En desacuerdo
139,Grocery store (aka. nanostore),No cambió,No cambió,En papel,En papel,Ninguno,Ninguna,10%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,De acuerdo,De acuerdo
140,Barbería,No cambió,Aumentó 15%,No lo hago,No lo hago,Ninguno,Redes sociales,20%,Ninguna,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",40%,En desacuerdo,De acuerdo
141,Grocery store (aka. nanostore),No cambió,No cambió,No lo hago,No lo hago,Ninguno,Ninguna,20%,Ninguna,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Totalmente en desacuerdo,En desacuerdo
142,Micro-restaurant (aka. fondita),No cambió,Disminuyó 15%,"En papel,No lo hago",En papel,WhatsApp,Ninguna,30%,Ninguna,no,Disminuir la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,Totalmente en desacuerdo
143,Farmacia,No cambió,Aumentó 15%,Software especializado + computadora,Software especializado + computadora,WhatsApp,Ninguna,40%,Ninguna,no,Disminuir la cantidad del pedido,20%,En desacuerdo,Ni de acuerdo ni en desacuerdo
144,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,En papel,WhatsApp,Redes sociales,30%,Ninguna,no,Disminuir la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,En desacuerdo
145,Lavandería,Disminuyó 15%,No cambió,En papel,"En papel,Software especializado + computadora","Llamada a Teléfono celular,WhatsApp",Ninguna,25%,Ninguna,no,Disminuir la cantidad del pedido,30%,De acuerdo,Ni de acuerdo ni en desacuerdo
146,Servicios cerámicos,No cambió,No cambió,"En papel,No lo hago",En papel,"Llamada a Teléfono celular,WhatsApp",Aplicación móvil,30%,Ninguna,no,Disminuir la cantidad del pedido,0,En desacuerdo,En desacuerdo
147,Dairy products,No cambió,No cambió,No lo hago,No lo hago,"Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",15%,Ninguna,yes,Disminuir la cantidad del pedido,10%,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo
148,Micro-restaurant (aka. fondita),No cambió,No cambió,No lo hago,En papel,"Llamada a Teléfono celular,WhatsApp","Aplicación móvil,Redes sociales",40%,Ninguna,yes,Disminuir la cantidad del pedido,10%,De acuerdo,Ni de acuerdo ni en desacuerdo
149,Micro-restaurant (aka. fondita),No cambió,No cambió,En Excel,"Caja registradora (análoga),Software especializado + computadora","Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,WhatsApp",Redes sociales,40%,Ninguna,yes,Disminución de la variedad de productos,10%,Totalmente de acuerdo,De acuerdo
150,Dairy products,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Llamada a Teléfono fijo,WhatsApp",Redes sociales,15%,Ninguna,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",30%,De acuerdo,De acuerdo
151,Micro-restaurant (aka. fondita),No cambió,No cambió,En Excel,En Excel,"Llamada a Teléfono fijo,WhatsApp",Redes sociales,30%,Ninguna,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
152,Produce (fruits & vegetables),No cambió,No cambió,"En papel,No lo hago",No lo hago,"Llamada a Teléfono celular,WhatsApp","Aplicación móvil,Redes sociales",25%,Ninguna,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",20%,Ni de acuerdo ni en desacuerdo,Ni de acuerdo ni en desacuerdo
153,Grocery store (aka. nanostore),No cambió,No cambió,"En Excel,Software especializado + computadora","En Excel,Software especializado + computadora","Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp",Ninguna,10%,Ninguna,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Ni de acuerdo ni en desacuerdo,De acuerdo
154,Micro-restaurant (aka. fondita),No cambió,No cambió,En Excel,"Caja registradora (análoga),Software especializado + computadora","Llamada a Teléfono celular,Llamada a Teléfono fijo,WhatsApp",Redes sociales,45%,Ninguna,no,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",30%,En desacuerdo,Totalmente en desacuerdo
155,Dairy products,Disminuyó 25%,No cambió,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),Redes sociales (e.g. Facebook, Instagram)",Aplicación móvil,20%,Cuaderno,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",50% +,Totalmente de acuerdo,De acuerdo
156,Dairy products,Disminuyó 25%,No cambió,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),Redes sociales (e.g. Facebook, Instagram)",Aplicación móvil,20%,Cuaderno,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",50% +,Totalmente de acuerdo,De acuerdo
157,Grocery store (aka. nanostore),Disminuyó 25%,No cambió,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),Redes sociales (e.g. Facebook, Instagram)",Aplicación móvil,20%,Cuaderno,yes,"Disminución de la variedad de productos,Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",50% +,Totalmente de acuerdo,De acuerdo
158,papelería ,No cambió,No cambió,Aplicación móvil (i.e. App) + smartphone,Aplicación móvil (i.e. App) + smartphone,"Aplicación móvil (e.g. Rappi, Uber Eats),Redes sociales (e.g. Facebook, Instagram)",Excel,15%,Excel,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,Totalmente en desacuerdo,Totalmente de acuerdo
159,taller,No cambió,No cambió,Aplicación móvil (i.e. App) + smartphone,Aplicación móvil (i.e. App) + smartphone,"Aplicación móvil (e.g. Rappi, Uber Eats),Redes sociales (e.g. Facebook, Instagram)",Excel,15%,Excel,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,Totalmente en desacuerdo,Totalmente de acuerdo
160,veterinaria ,No cambió,No cambió,Aplicación móvil (i.e. App) + smartphone,Aplicación móvil (i.e. App) + smartphone,"Aplicación móvil (e.g. Rappi, Uber Eats),Redes sociales (e.g. Facebook, Instagram)",Excel,15%,Excel,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",0,Totalmente en desacuerdo,Totalmente de acuerdo
161,panadería ,No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Llamada a Teléfono celular,WhatsApp",Aplicación móvil,15%,Software especializado,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Ni de acuerdo ni en desacuerdo,De acuerdo
162,Grocery store (aka. nanostore),No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Llamada a Teléfono celular,WhatsApp",Aplicación móvil,15%,Software especializado,no,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Ni de acuerdo ni en desacuerdo,De acuerdo
163,helados,No cambió,No cambió,En papel,En papel,Llamada a Teléfono fijo,Ninguna,20%,Cuaderno,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",50% +,Totalmente en desacuerdo,Totalmente en desacuerdo
164,Dairy products,No cambió,No cambió,En papel,En papel,Llamada a Teléfono fijo,Redes sociales,20%,Cuaderno,yes,"Aumentar la frecuencia de pedidos,Aumentar la variedad de productos.",10%,De acuerdo,Totalmente de acuerdo
165,Restaurante,No cambió,Aumentó 15%,"Aplicación móvil (i.e. App) + smartphone,Software especializado + computadora","Caja registradora (análoga),Software especializado + computadora","Aplicación móvil (e.g. Rappi, Uber Eats),Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,20%,"Aplicación móvil,Excel",yes,"Aumentar la frecuencia de pedidos,Aumentar la variedad de productos.",20%,De acuerdo,Totalmente de acuerdo
166,Clothes store,No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,Llamada a Teléfono fijo","Ninguna,Other",30%,Cuaderno,yes,"Disminución de la variedad de productos,Disminuir la frecuencia de pedidos",10%,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo
167,Micro-restaurant (aka. fondita),No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,Llamada a Teléfono fijo","Ninguna,Other",30%,Cuaderno,yes,"Disminución de la variedad de productos,Disminuir la frecuencia de pedidos",10%,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo
168,Clothes,No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,Llamada a Teléfono fijo","Ninguna,Other",30%,Cuaderno,yes,"Disminución de la variedad de productos,Disminuir la frecuencia de pedidos",10%,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo
169,Music Store ,No cambió,No cambió,En papel,En papel,"Llamada a Teléfono celular,Llamada a Teléfono fijo","Ninguna,Other",30%,Cuaderno,yes,"Disminución de la variedad de productos,Disminuir la frecuencia de pedidos",10%,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo
170,Produce (fruits & vegetables),No cambió,No cambió,En papel,En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Llamada a Teléfono fijo,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp",teléfono ,10%,Cuaderno,yes,"Disminuir la cantidad del pedido,Disminuir la frecuencia de pedidos",10%,Ni de acuerdo ni en desacuerdo,Totalmente de acuerdo
171,Micro-restaurant (aka. fondita),No cambió,Aumentó 15%,"En Excel,En papel",En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Llamada a Teléfono fijo,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",40%,Excel,yes,Disminuir la frecuencia de pedidos,50% +,De acuerdo,Totalmente de acuerdo
172,tienda de mochilas y bolsas ,No cambió,Aumentó 15%,"En Excel,En papel",En papel,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Llamada a Teléfono fijo,Página web propia,Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",40%,Excel,yes,Disminuir la frecuencia de pedidos,50% +,De acuerdo,Totalmente de acuerdo
173,Library store ,Disminuyó 15%,Disminuyó 50% o más,En Excel,En Excel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",35%,Excel,yes,Disminuir la frecuencia de pedidos,0,Totalmente de acuerdo,Totalmente de acuerdo
174,Bisutería ,Disminuyó 15%,Disminuyó 50% o más,En Excel,En Excel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",35%,Excel,yes,Disminuir la frecuencia de pedidos,0,Totalmente de acuerdo,Totalmente de acuerdo
175,Micro-restaurant (aka. fondita),Disminuyó 15%,Disminuyó 50% o más,En Excel,En Excel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",35%,Excel,yes,Disminuir la frecuencia de pedidos,0,Totalmente de acuerdo,Totalmente de acuerdo
176,Micro-restaurant (aka. fondita),Disminuyó 15%,Disminuyó 50% o más,En Excel,En Excel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",35%,Excel,yes,Disminuir la frecuencia de pedidos,0,Totalmente de acuerdo,Totalmente de acuerdo
177,Grocery store (aka. nanostore),Disminuyó 15%,Disminuyó 50% o más,En Excel,En Excel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",35%,Excel,yes,Disminuir la frecuencia de pedidos,0,Totalmente de acuerdo,Totalmente de acuerdo
178,Perfumes,Disminuyó 15%,Disminuyó 50% o más,En Excel,En Excel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",35%,Excel,yes,Disminuir la frecuencia de pedidos,0,Totalmente de acuerdo,Totalmente de acuerdo
179,tienda de lentes ,Disminuyó 15%,Disminuyó 50% o más,En Excel,En Excel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",35%,Excel,yes,Disminuir la frecuencia de pedidos,0,Totalmente de acuerdo,Totalmente de acuerdo
180,Micro-restaurant (aka. fondita),Disminuyó 15%,Disminuyó 50% o más,En Excel,En Excel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",35%,Excel,yes,Disminuir la frecuencia de pedidos,0,Totalmente de acuerdo,Totalmente de acuerdo
181,Wedding products ,Disminuyó 15%,Disminuyó 50% o más,En Excel,En Excel,"Redes sociales (e.g. Facebook, Instagram),WhatsApp","Aplicación móvil,Redes sociales",35%,Excel,yes,Disminuir la frecuencia de pedidos,0,Totalmente de acuerdo,Totalmente de acuerdo
182,Furniture ,No cambió,Aumentó 25%,"En Excel,En papel","En Excel,En papel","Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Aplicación móvil,20%,Cuaderno,yes,Disminuir la frecuencia de pedidos,20%,Totalmente de acuerdo,Totalmente de acuerdo
183,Produce (fruits & vegetables),No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,"Aplicación móvil (e.g. Rappi, Uber Eats),Llamada a Teléfono celular,Redes sociales (e.g. Facebook, Instagram),WhatsApp",Redes sociales,20%,Aplicación móvil,no,Ninguna de las anteriores,10%,Totalmente de acuerdo,Totalmente de acuerdo
184,Dairy products,No cambió,Disminuyó 25%,En papel,En papel,WhatsApp,Aplicación móvil,5%,Ninguna,no,Ninguna de las anteriores,10%,Totalmente de acuerdo,Totalmente en desacuerdo
185,Ropa,No cambió,No cambió,En papel,En papel,WhatsApp,Cuaderno,30%,Cuaderno,no,Ninguna de las anteriores,0,En desacuerdo,Totalmente en desacuerdo
186,mochilas,Disminuyó 15%,Aumentó 15%,En Excel,En Excel,WhatsApp,Ninguna,20%,Software especializado,no,Ninguna de las anteriores,40%,De acuerdo,Totalmente de acuerdo
187,Zapateria,No cambió,No cambió,En Excel,"Caja registradora (análoga),En Excel",no,Ninguna,15%,"Cuaderno,Excel",no,Ninguna de las anteriores,10%,Ni de acuerdo ni en desacuerdo,En desacuerdo
188,ropa,Disminuyó 15%,Disminuyó 15%,No lo hago,"En papel,No lo hago",no,Ninguna,15%,Ninguna,no,Ninguna de las anteriores,20%,Totalmente de acuerdo,Totalmente de acuerdo
189,Dulceria ,No cambió,No cambió,"En Excel,En papel","Caja registradora (análoga),En Excel",Llamada a Teléfono celular,Ninguna,25%,Ninguna,no,Ninguna de las anteriores,0,En desacuerdo,Totalmente de acuerdo
190,ropa,No cambió,No cambió,"En Excel,En papel",En Excel,ninguno,Ninguna,25%,Software especializado,no,Ninguna de las anteriores,10%,Totalmente de acuerdo,Totalmente de acuerdo
191,ropa,Disminuyó 15%,No cambió,En papel,En papel,"Llamada a Teléfono celular,Llamada a Teléfono fijo",Ninguna,10%,Ninguna,no,Ninguna de las anteriores,20%,Totalmente en desacuerdo,Totalmente en desacuerdo
192,Boutique,No cambió,No cambió,En Excel,En Excel,"Llamada a Teléfono celular,Llamada a Teléfono fijo",Ninguna,10%,Ninguna,no,Ninguna de las anteriores,20%,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
193,Stationery,Aumentó 15%,Aumentó 10%,En Excel,"En Excel,En papel",Llamada a Teléfono celular,Ninguna,5%,Cuaderno,no,Ninguna de las anteriores,10%,Totalmente de acuerdo,Ni de acuerdo ni en desacuerdo
194,Micro-restaurant (aka. fondita),No cambió,Aumentó 15%,En papel,En Excel,"Llamada a Teléfono celular,Llamada a Teléfono fijo",Ninguna,10%,Ninguna,no,Ninguna de las anteriores,10%,Totalmente en desacuerdo,Totalmente en desacuerdo
195,Produce (fruits & vegetables),No cambió,Aumentó 15%,En papel,En Excel,"Llamada a Teléfono celular,Llamada a Teléfono fijo",Ninguna,10%,Ninguna,no,Ninguna de las anteriores,10%,Totalmente en desacuerdo,Totalmente en desacuerdo
196,Dairy products,No cambió,Aumentó 15%,En papel,En Excel,"Llamada a Teléfono celular,Llamada a Teléfono fijo",Ninguna,10%,Ninguna,no,Ninguna de las anteriores,10%,Totalmente en desacuerdo,Totalmente en desacuerdo
197,Grocery store (aka. nanostore),No cambió,No cambió,Software especializado + computadora,Software especializado + computadora,Llamada a Teléfono celular,Ninguna,10%,Sobre demanda ,no,Ninguna de las anteriores,10%,Totalmente en desacuerdo,Totalmente en desacuerdo
198,Dairy products,No cambió,Disminuyó 15%,"En Excel,En papel","En Excel,En papel",WhatsApp,Ninguna,10%,"Cuaderno,Teléfono personal ",no,Ninguna de las anteriores,10%,Totalmente de acuerdo,De acuerdo
199,Micro-restaurant (aka. fondita),Disminuyó 15%,Disminuyó 15%,"En Excel,Software especializado + computadora","En Excel,En papel","Llamada a Teléfono celular,WhatsApp",Ninguna,25%,"Cuaderno,Excel",yes,Ninguna de las anteriores,10%,Totalmente de acuerdo,De acuerdo
200,Micro-restaurant (aka. fondita),Disminuyó 15%,Disminuyó 15%,"En Excel,Software especializado + computadora","En Excel,En papel","Llamada a Teléfono celular,WhatsApp",Ninguna,25%,"Cuaderno,Excel",yes,Ninguna de las anteriores,10%,Totalmente de acuerdo,De acuerdo
201,Produce (fruits & vegetables),Disminuyó 15%,Disminuyó 15%,"En Excel,Software especializado + computadora","En Excel,En papel","Llamada a Teléfono celular,WhatsApp",Ninguna,25%,"Cuaderno,Excel",yes,Ninguna de las anteriores,10%,Totalmente de acuerdo,De acuerdo
